name,position,account_official,account_campaign,county_icpsr,state_icpsr,district,state_abbrev,party_code,born,nominate_dim1,nominate_dim2,career_start,career_end,race,population_density,region
Josh Harder,Rep,RepJoshHarder,JoshHarder,21930,71,10,CA,100,1986,-0.373,0.768,20190103,NA,,,
Andy Harris,Rep,RepAndyHarrisMD,Harris4Congress,21139,52,1,MD,200,1957,0.652,-0.371,20110103,NA,,,
Vicky Hartzler,Rep,RepHartzler,VickyH4Congress,21149,34,4,MO,200,1960,0.466,0.324,20110103,NA,,,
Alcee Hastings,Rep,RepHastingsFL,alcee4congress,29337,43,20,FL,100,1936,-0.564,0.158,19930103,NA,,,
Jahana Hayes,Rep,RepJahanaHayes,JahanaHayesCT,21931,1,5,CT,100,1973,-0.34,-0.067,20190103,NA,,,
Dennis Heck,Rep,RepDennyHeck,DennyHeck,21369,73,10,WA,100,1952,-0.31,-0.13,20130103,NA,,,
Kevin Hern,Rep,repkevinhern,krhern,21760,53,1,OK,200,1961,0.678,0.012,20181106,NA,,,
Jaime Herrera Beutler,Rep,HerreraBeutler,JaimeForUSRep,21187,73,3,WA,200,1978,0.359,-0.193,20110103,NA,,,
Jody Hice,Rep,congressmanhice,JodyHice,21514,44,10,GA,200,1960,0.789,-0.093,20150103,NA,,,
Brian Higgins,Rep,RepBrianHiggins,Higgins4WNY,20519,13,26,NY,100,1959,-0.347,-0.033,20050103,NA,,,
Clay Higgins,Rep,RepClayHiggins,CaptClayHiggins,21724,45,3,LA,200,1961,0.565,-0.08,20170103,NA,,,
French Hill,Rep,RepFrenchHill,ElectFrench,21503,42,2,AR,200,1956,0.453,0.225,20150103,NA,,,
Katie Hill,Rep,RepKatieHill,KatieHill4CA,21932,71,25,CA,100,1987,-0.306,0.114,20190103,20190903,,,
Jim Himes,Rep,,jahimes,20907,1,4,CT,100,1966,-0.242,-0.243,20090103,NA,,,
George Holding,Rep,RepHolding,,21349,47,2,NC,200,1968,0.613,0.154,20130103,NA,,,
Trey Hollingsworth,Rep,RepTrey,VoteForTrey,21725,22,9,IN,200,1983,0.407,-0.229,20170103,NA,,,
Eleanor Holmes Norton,Rep,EleanorNorton,,NA,NA,NA,DC,100,1937,NA,NA,19910103,NA,,,
Kendra Horn,Rep,RepKendraHorn,HornForCongress,21933,53,5,OK,100,1976,-0.184,0.519,20190103,NA,,,
Steven Horsford,Rep,RepHorsford,StevenHorsford,21339,65,4,NV,100,1973,-0.351,0.09,20190103,NA,,,
Chrissy Houlahan,Rep,RepHoulahan,HoulahanForPa,21934,14,6,PA,100,1967,-0.32,0.594,20190103,NA,,,
Steny Hoyer,Rep,LeaderHoyer,StenyHoyer,14873,52,5,MD,100,1939,-0.38,0.117,19810519,NA,,,
Richard Hudson,Rep,RepRichHudson,RichHudson,21346,47,8,NC,200,1971,0.584,0.12,20130103,NA,,,
Jared Huffman,Rep,RepHuffman,JaredHuffman,21303,71,2,CA,100,1964,-0.425,-0.546,20130103,NA,,,
Bill Huizenga,Rep,RepHuizenga,billhuizenga,21142,23,2,MI,200,1969,0.591,-0.059,20110103,NA,,,
Duncan D. Hunter,Rep,Rep_Hunter,,20963,71,50,CA,200,1976,0.539,0.085,20090103,20200113,,,
Will Hurd,Rep,hurdonthehill,WillHurd,21550,49,23,TX,200,1977,0.294,0.231,20150103,NA,,,
Sheila Jackson Lee,Rep,JacksonLeeTX18,sjl4hrc,29573,49,18,TX,100,1950,-0.459,0.129,19950103,NA,,,
Chris Jacobs,Rep,RepJacobs,JacobsNY27,21990,13,27,NY,200,1966,0.331,-0.114,20200623,NA,,,
Pramila Jayapal,Rep,RepJayapal,PramilaJayapal,21726,73,7,WA,100,1965,-0.697,-0.224,20170103,NA,,,
Hakeem Jeffries,Rep,RepJeffries,hakeem_jeffries,21343,13,8,NY,100,1970,-0.487,-0.086,20130103,NA,,,
Bill Johnson,Rep,RepBillJohnson,JohnsonLeads,21162,24,6,OH,200,1954,0.433,0.278,20110103,NA,,,
Dusty Johnson,Rep,RepDustyJohnson,DustyJohnson,21935,37,1,SD,200,1976,0.489,0.026,20190103,NA,,,
Eddie Bernice Johnson,Rep,RepEBJ,,39305,49,30,TX,100,1935,-0.485,0.204,19930103,NA,,,
Hank Johnson,Rep,RepHankJohnson,ReElectHank,20712,44,4,GA,100,1954,-0.466,0.007,20070103,NA,,,
Mike Johnson,Rep,RepMikeJohnson,MikeJohnson,21727,45,4,LA,200,1972,0.557,-0.093,20170103,NA,,,
Walter Beaman Jones Jr.,Rep,RepWalterJones,,29546,47,3,NC,200,1943,0.244,-0.362,19950103,20190210,,,
Jim Jordan,Rep,Jim_Jordan,Votejimjordan,20738,24,4,OH,200,1964,0.719,-0.225,20070103,NA,,,
David Joyce,Rep,RepDaveJoyce,DaveJoyceOH14,21353,24,14,OH,200,1957,0.265,0.265,20130103,NA,,,
John Joyce,Rep,RepJohnJoyce,JohnJoyceForPA,21936,14,13,PA,200,1957,0.539,0.128,20190103,NA,,,
Marcy Kaptur,Rep,RepMarcyKaptur,Marcy_Kaptur,15029,24,9,OH,100,1946,-0.35,0.109,19830103,NA,,,
John Katko,Rep,RepJohnKatko,,21542,13,24,NY,200,1962,0.203,-0.006,20150103,NA,,,
Bill Keating,Rep,USRepKeating,WilliamKeating,21140,3,9,MA,100,1952,-0.328,-0.133,20110103,NA,,,
Fred Keller,Rep,RepFredKeller,VoteFredKeller,21985,14,12,PA,200,1965,0.476,0.183,20190521,NA,,,
Mike Kelly,Rep,MikeKellyPA,MikeKellyforPA,21167,14,16,PA,200,1948,0.342,0.468,20110103,NA,,,
Robin Kelly,Rep,RepRobinKelly,RobinLynneKelly,21371,21,2,IL,100,1956,-0.459,0.003,20130409,NA,,,
Trent Kelly,Rep,reptrentkelly,KellyforMS01,21561,46,1,MS,200,1966,0.627,0.252,20150602,NA,,,
Joseph Kennedy,Rep,RepJoeKennedy,joekennedy,21335,3,4,MA,100,1980,-0.423,-0.185,20130103,NA,,,
Ro Khanna,Rep,RepRoKhanna,RoKhanna,21728,71,17,CA,100,1976,-0.587,-0.195,20170103,NA,,,
Dan Kildee,Rep,RepDanKildee,dankildee,21372,23,5,MI,100,1958,-0.395,-0.212,20130103,NA,,,
Derek Kilmer,Rep,RepDerekKilmer,DerekKilmer,21368,73,6,WA,100,1974,-0.309,-0.013,20130103,NA,,,
