Amen!  Titan Up! https://t.co/Wyf7bY764l,2020-01-12 14:26:51,Twitter Web App,11,33
Last week Michael Cohen testified before Congress. But Cohen is a fake witness. His presence testifying before Congress is a travesty. Any fair-minded person should be able to see through this absurdity.           https://t.co/dhI3UDKW29,2019-03-04 15:38:54,Twitter for iPhone,0,10
Nothing like having POTUS quote you! https://t.co/eNQBFXMU2q,2019-03-04 00:32:00,Twitter for iPhone,13,70
They used a fake dossier to start the investigation into the president now they're using a fake witness to try to start the impeachment process against the President. Check out my thoughts with Tucker Carlson below! https://t.co/rJvfNgiXF9,2019-02-28 14:50:50,Twitter for iPhone,12,28
I joined Fox News this morning to talk about Michael Cohen appearing before the Oversight Committee tomorrow. It just makes no sense that the first witness the Democrats call to testify is a convicted felon. Hit SHARE if you agree!       https://t.co/ThTUt16z0L,2019-02-26 16:48:29,Twitter for iPhone,13,26
Camie and I voted early this morning in the Republican primary for the race to fill my State Senate seat. Montgomery Houston and Stewart Counties: if you haven’t voted yet I hope you’ll go vote! https://t.co/jVrP9PZ8rA,2019-02-20 19:21:34,Twitter for iPhone,3,30
Three years ago today we lost a giant of the law and defender of the Constitution Justice Antonin Scalia. Today we honor his life and legacy and resolve to help President Trump appoint more originalists to the Courts! https://t.co/VMWsUjWnvi,2019-02-13 19:05:22,Twitter for iPhone,3,18
Our national debt has topped $22 trillion for the first time in history! Retweet if you agree we must get serious about getting our debt before it’s too late. https://t.co/2wm5EvqexP,2019-02-13 18:08:53,Twitter for iPhone,22,35
Today of all days is a time for our country to come together and fight to protect our border. I have signed as a co-sponsor of the El Chapo Act. This act will use the 14 Billion in funds seized from El Chapo to build the wall on our southern border. https://t.co/chrbJX7Kuc,2019-02-12 19:37:44,Twitter for iPhone,339,910
Happy 210th birthday to one of our greatest presidents Abraham Lincoln! https://t.co/YBxB0qerx6,2019-02-12 16:15:00,Twitter for iPhone,11,48
Rep. Omar’s comments are deeply offensive. We as a nation must stand united against anti-Semitism. Comment below if you think that Rep. Omar should apologize for her comments.                                                 https://t.co/dSNLqS7h9Z,2019-02-11 20:19:57,Twitter for iPhone,5,42
It’s past time for Democrats to come to the table to get the wall built. Check out my thoughts here.                   https://t.co/8LulEFcKOr,2019-02-08 19:18:49,Twitter for iPhone,5,17
No wonder Speaker Pelosi didn’t want President Trump to deliver the State of the Union. Hit LIKE if you approved of the President’s speech!             https://t.co/YowMznPxAB,2019-02-07 19:36:09,Twitter for iPhone,5,43
@WilliamLamberth Just another way the federal government undoes federalism the concept that states are sovereign.  Working on it brother!  Got to build a wall too!,2019-02-03 03:59:07,Twitter for iPhone,0,3
We hope you’ll join Camie and me in praying for our friend Rep. Jeremy Faison and his family.     https://t.co/cidFHziN5L,2019-02-02 19:21:52,Twitter for iPhone,0,14
The end result of socialism: tyranny rampant inflation and massive suffering. CNN undercover in Venezuela. https://t.co/vJLkkEb6wd via @YouTube,2019-02-02 12:35:01,Twitter for iPhone,2,5
After years of Moscow violating the INF Treaty with no consequences President Trump is right to suspend it. Check out my thoughts on Fox News this morning.  https://t.co/IWX8ozYsqD,2019-02-01 18:53:32,Twitter for iPhone,3,13
Great to join Fox News yesterday to talk about the President’s willingness to negotiate to get the government reopen! It’s time for Democrats to come to the table. https://t.co/k3ENg9R5ht,2019-01-21 19:35:46,Twitter for iPhone,4,30
