Those who go out should absolutely wear a mask and social distance without fail.  The President keeps insisting that the virus will simply disappear and the Administration’s response continues to be guided by wishful thinking.  That is not a strategy for ending a pandemic. 4/,2020-07-03 14:21:56,Twitter for iPhone,11,51,social distance; 
In the nation’s capital we finally managed to slow the spread of COVID-19.  The people in our region sacrificed to make these gains and we should do all we can to hold on to this progress.  Staying home on July Fourth and avoiding large gatherings is the best way to do this. 3/,2020-07-03 14:20:42,Twitter for iPhone,13,51,covid; 
This weekend Americans will celebrate the birth of our nation in Philadelphia 244 years ago.  Washington and other cities will see fireworks martial displays and flyovers large gatherings and sadly the dangerous potential to spread coronavirus.   I urge you to stay home. 1/,2020-07-03 14:18:44,Twitter for iPhone,34,128,corona; 
NEW: across the Commonwealth Virginians are facing rent payment deadlines amid economic devastation caused by the global pandemic  I am formally requesting that the Virginia Supreme Court delay any upcoming eviction cases that have resulted because of COVID-19. https://t.co/fAngaR2vpP,2020-07-02 18:13:00,TweetDeck,11,49,covid; 
A toddler who touches a stove will learn that the stove is hot and not touch it again.  Trump claimed coronavirus would "disappear" after the first cases in the US in February. 2.6 million Americans have gotten sick and he just keeps saying it.  Wishful thinking isn't a strategy. https://t.co/U6WlLZ41aL,2020-07-01 19:32:19,Twitter Web App,18,80,corona; 
2.5 million Americans have tested positive for COVID-19 and 125000 have died.  The President has utterly failed to lead a response and seems to have just given up. https://t.co/Lwpc9XbEmC,2020-06-29 13:50:36,TweetDeck,54,146,covid; 
We just crossed 40000 COVID-19 cases in the United States in a single day for the first time.  Business as usual and pretending everything is fine are not going to cut it. https://t.co/OBeiSUFOkf,2020-06-27 14:31:00,TweetDeck,31,65,covid; 
The United States just had its largest increase of Americans sick with COVID-19 in a single day ever — over 40000 new cases https://t.co/PWAKXkTYJD,2020-06-26 21:51:55,Twitter for iPhone,48,126,covid; 
More Americans have died from COVID-19 in three months than were killed in all wars we've fought since WWII put together.  The biggest increase in U.S. cases since the pandemic began happened yesterday.  All Donald Trump cares about is his polls his reelection. Himself. https://t.co/9kYVTh1ZUz,2020-06-25 15:25:02,Twitter Web App,29,83,covid; 
The United States just experienced its largest daily increase in COVID-19 cases ever and the President is watching FoxNews and sending whining tweets about it.  This kind of incompetence kills. https://t.co/Co6Z2hKAzu,2020-06-25 14:51:05,TweetDeck,412,1409,covid; 
Washington Post: New Coronavirus Cases In The U.S. Soar To Highest Single-Day Total https://t.co/KB5P6RHBsm https://t.co/K1gG8RUSgE,2020-06-24 21:30:35,Twitter Web App,12,19,corona; 
